date,consommation
2014-07-17,2368247.0
2014-07-18,2359381.0
2014-07-19,2056654.0
2014-07-20,1864533.0
2014-07-21,2206352.0
2014-07-22,2289869.0
2014-07-23,2316413.0
2014-07-24,2330764.0
2014-07-25,2257888.0
2014-07-26,1980806.0
2014-07-27,1845894.0
2014-07-28,2147294.0
2014-07-29,2185922.0
2014-07-30,2191058.0
2014-07-31,2187562.0
2014-08-01,2139122.0
2014-08-02,1899596.0
2014-08-03,1752969.0
2014-08-04,1987285.0
2014-08-05,2027831.0
2014-08-06,2039886.0
2014-08-07,2049958.0
2014-08-08,2045114.0
2014-08-09,1842108.0
2014-08-10,1742038.0
2014-08-11,1944503.0
2014-08-12,1972155.0
2014-08-13,1973557.0
2014-08-14,1959142.0
2014-08-15,1783817.0
2014-08-16,1784925.0
2014-08-17,1712904.0
2014-08-18,1977817.0
2014-08-19,2041281.0
2014-08-20,2057150.0
2014-08-21,2072947.0
2014-08-22,2081341.0
2014-08-23,1898823.0
2014-08-24,1788830.0
2014-08-25,2151394.0
2014-08-26,2242313.0
2014-08-27,2239510.0
2014-08-28,2255056.0
2014-08-29,2226147.0
2014-08-30,1970738.0
2014-08-31,1838602.0
2014-09-01,2198787.0
2014-09-02,2281207.0
2014-09-03,2290637.0
2014-09-04,2307692.0
2014-09-05,2291521.0
2014-09-06,2014498.0
2014-09-07,1878971.0
2014-09-08,2261274.0
2014-09-09,2320646.0
2014-09-10,2323592.0
2014-09-11,2319716.0
2014-09-12,2279130.0
2014-09-13,2007865.0
2014-09-14,1869221.0
2014-09-15,2249529.0
2014-09-16,2312903.0
2014-09-17,2325630.0
2014-09-18,2325275.0
2014-09-19,2305668.0
2014-09-20,2020739.0
2014-09-21,1872943.0
2014-09-22,2223179.0
2014-09-23,2303538.0
2014-09-24,2342108.0
2014-09-25,2334135.0
2014-09-26,2304219.0
2014-09-27,2025200.0
2014-09-28,1884790.0
2014-09-29,2270826.0
2014-09-30,2332757.0
2014-10-01,2335367.0
2014-10-02,2330409.0
2014-10-03,2299677.0
2014-10-04,2025091.0
2014-10-05,1919618.0
2014-10-06,2339602.0
2014-10-07,2411848.0
2014-10-08,2433367.0
2014-10-09,2405013.0
2014-10-10,2369401.0
2014-10-11,2093354.0
2014-10-12,2002659.0
2014-10-13,2347339.0
2014-10-14,2416168.0
2014-10-15,2440797.0
2014-10-16,2437510.0
2014-10-17,2383853.0
2014-10-18,2083167.0
2014-10-19,1918545.0
2014-10-20,2296565.0
2014-10-21,2422187.0
2014-10-22,2510743.0
2014-10-23,2564605.0
2014-10-24,2535301.0
2014-10-25,2233351.0
2014-10-26,2092051.0
2014-10-27,2463332.0
2014-10-28,2562731.0
2014-10-29,2556004.0
2014-10-30,2517095.0
2014-10-31,2453384.0
2014-11-01,2145712.0
2014-11-02,2098050.0
2014-11-03,2539247.0
2014-11-04,2679680.0
2014-11-05,2815031.0
2014-11-06,2899969.0
2014-11-07,2871940.0
2014-11-08,2549070.0
2014-11-09,2418887.0
2014-11-10,2651938.0
2014-11-11,2491763.0
2014-11-12,2788407.0
2014-11-13,2862698.0
2014-11-14,2842703.0
2014-11-15,2549071.0
2014-11-16,2467865.0
2014-11-17,2901330.0
2014-11-18,2967666.0
2014-11-19,3027689.0
2014-11-20,3023028.0
2014-11-21,2925604.0
2014-11-22,2560910.0
2014-11-23,2375742.0
2014-11-24,2766216.0
2014-11-25,2876876.0
2014-11-26,2867388.0
2014-11-27,2867974.0
2014-11-28,2810662.0
2014-11-29,2586167.0
2014-11-30,2572644.0
2014-12-01,3091240.0
2014-12-02,3264842.0
2014-12-03,3367162.0
2014-12-04,3379180.0
2014-12-05,3332585.0
2014-12-06,3089150.0
2014-12-07,3047064.0
2014-12-08,3364235.0
2014-12-09,3506860.0
2014-12-10,3471638.0
2014-12-11,3338496.0
2014-12-12,3281345.0
2014-12-13,2980251.0
2014-12-14,2949344.0
2014-12-15,3265570.0
2014-12-16,3215727.0
2014-12-17,3266252.0
2014-12-18,3074445.0
2014-12-19,2982453.0
2014-12-20,2789290.0
2014-12-21,2775450.0
2014-12-22,3077322.0
2014-12-23,3102825.0
2014-12-24,2940340.0
2014-12-25,2629465.0
2014-12-26,2996046.0
2014-12-27,3015918.0
2014-12-28,3137894.0
2014-12-29,3585153.0
2014-12-30,3540884.0
2014-12-31,3442193.0
2015-01-01,3227634.0
2015-01-02,3312091.0
2015-01-03,3076522.0
2015-01-04,2826176.0
2015-01-05,3421199.0
2015-01-06,3620677.0
2015-01-07,3568041.0
2015-01-08,3440028.0
2015-01-09,3264231.0
2015-01-10,2772219.0
2015-01-11,2759836.0
2015-01-12,3284656.0
2015-01-13,3285095.0
2015-01-14,3284210.0
2015-01-15,3292679.0
2015-01-16,3270893.0
2015-01-17,3126331.0
2015-01-18,3126831.0
2015-01-19,3563988.0
2015-01-20,3691344.0
2015-01-21,3729085.0
2015-01-22,3734247.0
2015-01-23,3784971.0
2015-01-24,3497994.0
2015-01-25,3317468.0
2015-01-26,3590323.0
2015-01-27,3554305.0
2015-01-28,3568273.0
2015-01-29,3563603.0
2015-01-30,3593369.0
2015-01-31,3326493.0
2015-02-01,3273898.0
2015-02-02,3666412.0
2015-02-03,3797986.0
2015-02-04,3886701.0
2015-02-05,3940529.0
2015-02-06,4060660.0
2015-02-07,3669758.0
2015-02-08,3389625.0
2015-02-09,3670268.0
2015-02-10,3663483.0
2015-02-11,3582671.0
2015-02-12,3560638.0
2015-02-13,3452931.0
2015-02-14,3083473.0
2015-02-15,2952378.0
2015-02-16,3393710.0
2015-02-17,3426013.0
2015-02-18,3455320.0
2015-02-19,3458436.0
2015-02-20,3409165.0
2015-02-21,3135417.0
2015-02-22,3074694.0
2015-02-23,3355044.0
2015-02-24,3431034.0
2015-02-25,3354529.0
2015-02-26,3281085.0
2015-02-27,3284525.0
2015-02-28,3078655.0
2015-03-01,2787391.0
2015-03-02,3059686.0
2015-03-03,3127169.0
2015-03-04,3219047.0
2015-03-05,3269875.0
2015-03-06,3205222.0
2015-03-07,2857109.0
2015-03-08,2629276.0
2015-03-09,2901211.0
2015-03-10,2981299.0
2015-03-11,2921173.0
2015-03-12,2926750.0
2015-03-13,2981370.0
2015-03-14,2822116.0
2015-03-15,2770869.0
2015-03-16,3063901.0
2015-03-17,2991967.0
2015-03-18,2885067.0
2015-03-19,2965102.0
2015-03-20,2988550.0
2015-03-21,2766683.0
2015-03-22,2688900.0
2015-03-23,2981795.0
2015-03-24,3054885.0
2015-03-25,3158698.0
2015-03-26,3206834.0
2015-03-27,3024934.0
2015-03-28,2670144.0
2015-03-29,2509424.0
2015-03-30,2805619.0
2015-03-31,2821730.0
2015-04-01,2912188.0
2015-04-02,2960885.0
2015-04-03,2872128.0
2015-04-04,2623624.0
2015-04-05,2526596.0
2015-04-06,2547512.0
2015-04-07,2800851.0
2015-04-08,2751732.0
2015-04-09,2637168.0
2015-04-10,2535963.0
2015-04-11,2279761.0
2015-04-12,2130012.0
2015-04-13,2389130.0
2015-04-14,2382076.0
2015-04-15,2346786.0
2015-04-16,2347245.0
2015-04-17,2355449.0
2015-04-18,2139177.0
2015-04-19,2047521.0
2015-04-20,2370219.0
2015-04-21,2378943.0
2015-04-22,2359225.0
2015-04-23,2359504.0
2015-04-24,2332669.0
2015-04-25,2075653.0
2015-04-26,1973386.0
2015-04-27,2382767.0
2015-04-28,2494428.0
2015-04-29,2523020.0
2015-04-30,2526826.0
2015-05-01,2152947.0
2015-05-02,2173647.0
2015-05-03,2032494.0
2015-05-04,2331718.0
2015-05-05,2334171.0
2015-05-06,2366340.0
2015-05-07,2374337.0
2015-05-08,2053186.0
2015-05-09,1999320.0
2015-05-10,1887069.0
2015-05-11,2224268.0
2015-05-12,2272920.0
2015-05-13,2280268.0
2015-05-14,1997767.0
2015-05-15,2162859.0
2015-05-16,2053773.0
2015-05-17,1911567.0
2015-05-18,2261525.0
2015-05-19,2359595.0
2015-05-20,2411592.0
2015-05-21,2420337.0
2015-05-22,2360443.0
2015-05-23,2064268.0
2015-05-24,1878193.0
2015-05-25,1956584.0
2015-05-26,2283620.0
2015-05-27,2317132.0
2015-05-28,2324321.0
2015-05-29,2299024.0
2015-05-30,2025348.0
2015-05-31,1894283.0
2015-06-01,2259046.0
2015-06-02,2329011.0
2015-06-03,2335099.0
2015-06-04,2353354.0
2015-06-05,2341306.0
2015-06-06,2028540.0
2015-06-07,1868826.0
2015-06-08,2232843.0
2015-06-09,2294132.0
2015-06-10,2301844.0
2015-06-11,2333332.0
2015-06-12,2286054.0
2015-06-13,1992122.0
2015-06-14,1851931.0
2015-06-15,2211035.0
2015-06-16,2267695.0
2015-06-17,2279338.0
2015-06-18,2305606.0
2015-06-19,2246932.0
2015-06-20,1985642.0
2015-06-21,1848958.0
2015-06-22,2243703.0
2015-06-23,2297796.0
2015-06-24,2302819.0
2015-06-25,2323712.0
2015-06-26,2319929.0
2015-06-27,2043979.0
2015-06-28,1909573.0
2015-06-29,2302616.0
2015-06-30,2405658.0
2015-07-01,2440842.0
2015-07-02,2451083.0
2015-07-03,2438236.0
2015-07-04,2167984.0
2015-07-05,1971842.0
2015-07-06,2358596.0
2015-07-07,2436787.0
2015-07-08,2369910.0
2015-07-09,2351094.0
2015-07-10,2341934.0
2015-07-11,2087311.0
2015-07-12,1914790.0
2015-07-13,2142798.0
2015-07-14,2010878.0
2015-07-15,2353171.0
2015-07-16,2430257.0
2015-07-17,2407974.0
2015-07-18,2105918.0
2015-07-19,1925966.0
2015-07-20,2324002.0
2015-07-21,2413323.0
2015-07-22,2383831.0
2015-07-23,2350554.0
2015-07-24,2315282.0
2015-07-25,2010407.0
2015-07-26,1859463.0
2015-07-27,2180717.0
2015-07-28,2228782.0
2015-07-29,2221631.0
2015-07-30,2188841.0
2015-07-31,2139505.0
2015-08-01,1907295.0
2015-08-02,1796791.0
2015-08-03,2077427.0
2015-08-04,2089725.0
2015-08-05,2112705.0
2015-08-06,2145253.0
2015-08-07,2129506.0
2015-08-08,1917537.0
2015-08-09,1760231.0
2015-08-10,1970531.0
2015-08-11,2036157.0
2015-08-12,2073485.0
2015-08-13,2061166.0
2015-08-14,2007082.0
2015-08-15,1789295.0
2015-08-16,1708280.0
2015-08-17,1965692.0
2015-08-18,2031275.0
2015-08-19,2050282.0
2015-08-20,2080984.0
2015-08-21,2095130.0
2015-08-22,1921306.0
2015-08-23,1790167.0
2015-08-24,2107031.0
2015-08-25,2172494.0
2015-08-26,2221776.0
2015-08-27,2258712.0
2015-08-28,2235700.0
2015-08-29,2017014.0
2015-08-30,1897167.0
2015-08-31,2264058.0
2015-09-01,2282838.0
2015-09-02,2260997.0
2015-09-03,2273392.0
2015-09-04,2249672.0
2015-09-05,1987044.0
2015-09-06,1871630.0
2015-09-07,2236117.0
2015-09-08,2296528.0
2015-09-09,2305964.0
2015-09-10,2307069.0
2015-09-11,2284223.0
2015-09-12,2018192.0
2015-09-13,1891607.0
2015-09-14,2235680.0
2015-09-15,2320172.0
2015-09-16,2365571.0
2015-09-17,2352588.0
2015-09-18,2310275.0
2015-09-19,2043759.0
2015-09-20,1912335.0
2015-09-21,2269471.0
2015-09-22,2353749.0
2015-09-23,2374559.0
2015-09-24,2385338.0
2015-09-25,2335666.0
2015-09-26,2071109.0
2015-09-27,1949356.0
2015-09-28,2308012.0
2015-09-29,2383447.0
2015-09-30,2396856.0
2015-10-01,2421375.0
2015-10-02,2410902.0
2015-10-03,2140620.0
2015-10-04,2029024.0
2015-10-05,2381149.0
2015-10-06,2394954.0
2015-10-07,2416172.0
2015-10-08,2433288.0
2015-10-09,2431366.0
2015-10-10,2184601.0
2015-10-11,2063550.0
2015-10-12,2472763.0
2015-10-13,2613947.0
2015-10-14,2774818.0
2015-10-15,2900990.0
2015-10-16,2928117.0
2015-10-17,2568132.0
2015-10-18,2385029.0
2015-10-19,2738038.0
2015-10-20,2786635.0
