date,consommation,temperature,precipitation,is_non_ouvre
2018-01-19,3303234.0,6.840000000000001,3.0900000000000003,0
2018-01-20,3092928.0,7.219999999999998,10.586666666666668,1
2018-01-21,2848030.0,8.963333333333333,6.503333333333334,1
2018-01-22,3084615.0,10.606666666666666,7.5566666666666675,0
2018-01-23,3114894.0,9.170000000000003,0.52,0
2018-01-24,3058855.0,10.4,0.8800000000000001,0
2018-01-25,3123390.0,9.22,6.043333333333334,0
2018-01-26,3215316.0,6.543333333333333,10.896666666666668,0
2018-01-27,3064453.0,5.403333333333333,2.88,1
2018-01-28,2880276.0,7.063333333333333,0.1733333333333333,1
2018-01-29,3159994.0,8.25,0.39,0
2018-01-30,3180791.0,7.733333333333332,0.3999999999999998,0
2018-01-31,3238817.0,7.506666666666667,5.096666666666666,0
2018-02-01,3370255.0,5.17,5.56,0
2018-02-02,3479581.0,3.4699999999999998,1.2800000000000002,0
2018-02-03,3242638.0,3.576666666666666,3.003333333333333,1
2018-02-04,3184497.0,3.296666666666667,1.9466666666666663,1
2018-02-05,3707089.0,2.07,4.923333333333333,0
2018-02-06,3778029.0,2.3,4.12,0
2018-02-07,3842355.0,0.8800000000000001,1.61,0
2018-02-08,3851050.0,0.803333333333333,0.3266666666666666,0
2018-02-09,3834077.0,1.5633333333333332,2.64,0
2018-02-10,3474533.0,2.643333333333333,1.2066666666666668,1
2018-02-11,3222480.0,5.31,4.156666666666667,1
2018-02-12,3569762.0,2.933333333333333,1.4533333333333334,0
2018-02-13,3793352.0,1.97,2.5466666666666664,0
2018-02-14,3746189.0,3.33,3.326666666666667,0
2018-02-15,3450655.0,8.369999999999997,4.129999999999999,0
2018-02-16,3303259.0,7.720000000000001,2.29,0
2018-02-17,3020092.0,6.916666666666666,6.49,1
2018-02-18,2994814.0,4.976666666666668,1.78,1
2018-02-19,3385394.0,5.003333333333334,2.916666666666666,0
2018-02-20,3378727.0,5.996666666666666,3.0,0
2018-02-21,3510340.0,3.266666666666666,0.9433333333333334,0
2018-02-22,3691978.0,1.6866666666666663,0.0366666666666666,0
